predict score is:  42.31235094target_datetime, prediction_value, real_value, training_score(MAE), predicting_score(MAE)
2015/12/13 16:15,552.91067429834766,587.97749999999996,8.043649632327856,10.608594061957257
2015/12/13 16:30,660.74452687243661,591.54614000000004,59.80753110474136,47.93798505659172
2015/12/13 16:45,571.00777796386274,606.99379999999996,7.18351597021861,7.466258161312493
2015/12/13 17:00,574.88992474265319,604.72546,8.151145994297712,11.086356113760207
2015/12/13 17:15,570.49828503297306,607.04614000000004,7.523719185847511,6.131422384485734
2015/12/13 17:30,591.30515035536018,609.02570000000003,8.120132323295026,9.151566391611926
2015/12/13 17:45,571.98979286181395,620.0077,8.773728109709955,8.109093435148713
2015/12/13 18:00,590.84686453174083,624.31555000000003,6.02118100995321,9.285012798773426
2015/12/13 18:15,558.58250844520046,613.0711,7.661969091344516,12.408539062186708
2015/12/13 18:30,583.77046296249227,613.1893,7.050501137143691,9.40248622304686
